,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-171.03930182031107,30.909012003423136,-238.0311745689613,-125.90909777158033,,
1,0,-50.71263576172528,30.537769358503606,-104.6892448132999,-10.597685144149796,3995.1837646484373,147.23757781982422
2,1,67.4581370337148,20.899045434207274,38.18403062541752,105.88212267128736,186.31157264709472,99.2787519454956
3,2,155.3649382980057,19.607199867253637,113.80425002288666,185.01211762396386,115.49936192830404,70.87601941426595
4,3,147.64650488281427,31.63620440511003,96.10034631945844,196.7549633871106,82.72737159729004,56.58011815547943
5,4,195.25425132328067,19.98168313997002,160.07941244502445,236.7101282823684,65.08747591291156,49.04267680888273
6,5,251.40699843324637,43.0623343979518,179.8268058922585,315.82725294637163,51.60479338694427,41.51099557391668
7,6,321.53505237424787,44.2424485918324,276.2854551765256,441.203598953608,45.36568542148756,37.046570100646086
8,7,317.193376775925,43.06810944407339,260.34344864432717,399.3667285530855,41.298663429067105,34.506803802297085
9,8,319.8450353913562,46.944535571808686,243.5563356481387,410.261717577647,36.90347764708779,31.7073410207575
10,9,332.23038273546524,53.400921360944324,240.97031977884282,424.58306946829566,33.154198374067036,29.83845819745745
11,10,314.03489631999764,52.46761397048887,223.7598020368469,400.59265908436953,30.5051621860928,27.744314220216538
