Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
80.89548802375793	0	-188.1609517635157	-10.061881505211298	81.02439749690218	-47.961941880080595	-417.73993675466346	20.0	0.0	1020	10020	-163.53322832063554	-7.9108232065598045
161.03447937965393	1	-184.5383992447543	-9.880049512207394	86.0860884871038	-24.84428183845814	-447.6158395606442	20.0	0.0	1020	20040	-191.8973391519891	-10.082968072736518
240.03310632705688	2	-185.50356998190074	-9.737876135434204	81.28026369753921	-27.438543922192444	-433.52564735976335	20.0	0.0	1020	30060	-183.0334178635448	-9.054455597272371
318.941463470459	3	-173.07658545941447	-9.06151826676937	76.10875678021573	-29.437914533427673	-403.9125772863421	20.0	0.0	1020	40080	-173.07135330495623	-8.244195880992512
397.75422763824463	4	-166.393560305779	-8.628211485790814	72.10815562792286	-34.471244609048306	-352.6484826940166	20.0	0.0	1020	50100	-167.5702965034981	-8.220379606012914
477.40536403656006	5	-180.7722309578804	-9.09436043040163	81.54050555720949	-29.03199507327032	-474.152318738356	20.0	0.0	1020	60120	-184.9792833448861	-9.441312279255147
556.3933579921722	6	-179.39909909491877	-9.20704658854764	84.95362761737569	-29.93795335824193	-524.9574311672893	20.0	0.0	1020	70140	-142.98723073508245	-6.96958475299782
635.5231478214264	7	-169.53849705207153	-8.388499123823664	76.59432826910566	-24.214374496611082	-431.90280156944266	20.0	0.0	1020	80160	-181.46847455421263	-8.690448817673115
714.5667669773102	8	-174.09412589917895	-8.411760968923153	81.8473423923203	-22.81169502547585	-446.4966600583192	20.0	0.0	1020	90180	-172.57572099615683	-8.078366826225942
793.8148834705353	9	-167.25732973623553	-8.209288364902312	87.9442188721681	-23.1957528459615	-494.8452547079551	20.0	0.0	1020	100200	-172.73245940344293	-8.578552657215983
872.4666421413422	10	-174.19778731176945	-8.414016116294073	85.06457335080043	-22.080904531568144	-441.1306150956085	20.0	0.0	1020	110220	-195.13850274904857	-9.633912491415172
951.9894061088562	11	-174.0034187816355	-8.43149065161559	90.15913579912767	-28.372985738083795	-485.5321300644389	20.0	0.0	1020	120240	-187.14511368096686	-9.259088593273376
1030.8978593349457	12	-159.39267700735894	-7.586211008642792	88.77554860426518	-25.43964297050947	-502.5500115185663	20.0	0.0	1020	130260	-192.97058446826813	-8.9745039138075
1109.8374004364014	13	-167.63513856581028	-7.81296466950419	92.76445110773363	-27.400303159139288	-469.2783551226111	20.0	0.0	1020	140280	-160.9251552213555	-7.832192514820685
1188.7500858306885	14	-164.1225613173639	-7.643320000515615	97.57975869397949	-25.702924827943736	-478.5018141130089	20.0	0.0	1020	150300	-166.22573732261998	-7.931508631624648
1267.886236190796	15	-158.07456912044827	-7.315438251447393	82.02515560065355	-27.509351752175082	-518.2227315239463	20.0	0.0	1020	160320	-170.1180925591284	-7.898463052743896
1347.3813257217407	16	-160.91499786363707	-7.396534258194795	81.39125559456832	-26.306750049746046	-450.81044414470665	20.0	0.0	1020	170340	-122.99994796054612	-5.5964698313746695
1426.658994436264	17	-163.49164504573002	-7.482946202763124	86.82640265735475	-18.222002495534504	-485.05670874906184	20.0	0.0	1020	180360	-171.8544567161058	-7.878961880683344
1505.9389562606812	18	-151.62009195726577	-6.853868458323052	84.80530885274813	-18.11588872577289	-483.9056997751055	20.0	0.0	1020	190380	-144.6194461087009	-6.432714861028703
1584.886901140213	19	-147.81219975025084	-6.580550556434947	76.60810932492171	-32.50605359863079	-498.3974330335656	20.0	0.0	1020	200400	-171.1070907240063	-7.196646574032625
1663.5866718292236	20	-137.72017742405774	-6.119000497177212	90.3633633321828	-0.0010229246431400617	-482.16472218400827	18.425414364640883	5.238111028676648	1020	210420	-145.91075918166473	-6.790859676549982
1741.9945802688599	21	-148.72575310006565	-6.464562207156903	81.96733798631578	-25.92895363732061	-499.7553216552643	20.0	0.0	1020	220440	-174.46596358120223	-7.064824049893526
1821.3599979877472	22	-158.2448669585401	-6.686895384654754	91.07390870973664	-19.139087892184456	-475.06773650580175	20.0	0.0	1020	230460	-121.27309394362116	-5.044619937726715
1900.4158132076263	23	-150.16732076412268	-6.359736443188748	73.76350795524361	-15.603370252329865	-422.21480700762754	20.0	0.0	1020	240480	-129.8348730918405	-4.974566796659323
1979.7568051815033	24	-127.11760757144437	-5.24030631683266	69.06576647028338	-33.945785020667394	-459.31218316878204	20.0	0.0	1020	250500	-140.00557443097594	-5.942086384069044
2058.965223789215	25	-147.87788605984093	-6.267590195793013	85.39401984342902	-17.396965608080233	-452.98936202904196	20.0	0.0	1020	260520	-139.6235164946667	-6.069988765291398
2138.175975084305	26	-151.2017577786382	-6.692190811741156	94.20513211529276	-19.65898873156399	-545.4824557802317	20.0	0.0	1020	270540	-134.02497037426576	-5.5959252561127615
2216.8689455986023	27	-141.4277833368004	-5.965271267822175	77.58051169458265	-26.575334520471017	-478.32032781531615	20.0	0.0	1020	280560	-157.77860199618786	-6.2874362498654
2295.97155213356	28	-144.01635086560563	-6.351033697524716	83.36889742924383	-15.165534050371557	-506.9935251036165	20.0	0.0	1020	290580	-149.48814118413242	-7.007755343163402
2374.8116867542267	29	-131.64494796023698	-5.610040578770049	81.6341517849105	-22.220570228567198	-567.379298601047	20.0	0.0	1020	300600	-123.22857338792855	-4.784821908820815
2453.5027916431427	30	-139.2787730857448	-5.936890043258256	81.45142592267821	-16.628904934502994	-483.9041473473736	20.0	0.0	1020	310620	-113.9450337878714	-4.544955430761959
2532.426569700241	31	-138.83411756189304	-6.112582938525933	89.29971959785563	-18.070530693034787	-618.1949471263226	20.0	0.0	1020	320640	-144.19820722358244	-6.088905098018343
2611.615674972534	32	-141.47528231488073	-5.910709454149225	86.02179237515638	-17.512682954557654	-553.0866194513458	20.0	0.0	1020	330660	-129.83678657459393	-5.606686137221705
2690.6352486610413	33	-136.9403102199643	-5.902627416820817	80.05231907008285	-14.0035187082694	-551.3378854765513	20.0	0.0	1020	340680	-162.5661934222126	-7.360480914504025
2770.1173000335693	34	-129.4539536111134	-5.552801828766987	84.727209923941	-18.444963409825046	-489.77736976875275	20.0	0.0	1020	350700	-132.56364297718142	-5.992569482786045
2849.07674241066	35	-124.62054468482994	-5.145029676239342	69.64452775457855	-18.188642658822154	-449.2368228543855	20.0	0.0	1020	360720	-113.28538966538794	-5.102878760838695
2928.153949737549	36	-132.60461494620134	-5.7512544932132466	87.8186873072128	-19.751767328229523	-559.90558499491	20.0	0.0	1020	370740	-138.23752984595973	-6.386101433457751
3007.1041197776794	37	-121.91918539075598	-5.050831371984596	72.6436816936397	-18.90649165571417	-469.8762900813895	20.0	0.0	1020	380760	-119.98419713288708	-4.909057769211142
3086.573229789734	38	-131.58007656537617	-5.335442505267779	74.37387637082554	-18.28558969023883	-425.63355747193344	20.0	0.0	1020	390780	-132.73972017371887	-5.316480926687773
