Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
80.35065293312073	0	-168.21066098531495	-9.19897250526515	62.9510367367722	-35.07282570957459	-338.9036417344774	20.0	0.0	1020	10020	-177.18329519594235	-9.705370777390991
159.5829095840454	1	-160.3887042930388	-8.554000831245318	64.31769839569664	-32.33951463693908	-369.08869797287826	20.0	0.0	1020	20040	-168.63269415155474	-9.510193571804692
238.361674785614	2	-161.5404549126189	-8.477590038311652	66.42080914705689	-35.75866043448995	-405.8804486186177	20.0	0.0	1020	30060	-175.44250077275154	-9.178972281236735
317.27722549438477	3	-163.512744695757	-8.53048827568763	65.3219305561236	-38.347848743943175	-370.5534914873091	20.0	0.0	1020	40080	-142.35107304953632	-7.130276872427903
396.2864046096802	4	-152.19770417366678	-7.611606187663321	66.53762009016744	-22.39150497451428	-375.64232462073267	20.0	0.0	1020	50100	-184.05692503428406	-9.622457429396118
474.96915006637573	5	-147.97079351191593	-7.0749459799205345	65.6689414385874	-28.741046099290482	-391.8508117797775	20.0	0.0	1020	60120	-158.65598858383785	-8.635722929861782
553.5643019676208	6	-145.3737258004566	-7.149197980211289	64.24128086729604	-20.62090378131907	-317.7660819665462	20.0	0.0	1020	70140	-153.5337308885065	-8.05324396658023
632.3909962177277	7	-149.15153364647296	-6.94844120787867	66.56670201578642	-25.71064096119863	-339.49144780258524	20.0	0.0	1020	80160	-168.6194305812792	-8.826327389532043
711.6324970722198	8	-139.54274255013286	-6.565973108478573	67.01891377205243	-19.007712639647423	-373.6007015012195	20.0	0.0	1020	90180	-162.686341665983	-8.51788210580493
790.5513892173767	9	-147.17651948973153	-6.623892909182351	62.83634460928422	-37.47792025434379	-403.2169559774526	20.0	0.0	1020	100200	-187.14174096787534	-9.034883962888696
869.4511709213257	10	-136.52332380925648	-5.865084076816115	68.02387909310468	-24.12415793569869	-342.5321212761401	20.0	0.0	1020	110220	-144.44231438510667	-7.64089643399286
948.847559928894	11	-121.74939638198956	-5.1367703839159695	57.75495439155511	-21.766784946963416	-301.11750919580084	20.0	0.0	1020	120240	-166.1526731690561	-9.215992851895708
1027.644243478775	12	-124.42302128979286	-5.197993469701663	60.6394267055556	-28.718051367240534	-315.70611937732474	20.0	0.0	1020	130260	-203.33173875204307	-10.49109498720184
