Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
42.93823504447937	0	-172.5331850583196	-9.462757322895849	63.79064240250415	-39.73575289650532	-371.6145904678856	20.0	0.0	1020	10020	-172.34003301396461	-9.319303920723959
85.0181176662445	1	-173.78835677525677	-9.377870512288338	63.34805600229551	-42.58188580883095	-388.5466827964257	20.0	0.0	1020	20040	-174.88826233291402	-9.878643700306622
126.50083518028259	2	-175.02723793716314	-9.740381284888516	68.82836460012552	-32.09070867431882	-447.9953232212521	20.0	0.0	1020	30060	-176.08397292888444	-8.996432850121423
168.3981614112854	3	-169.2655197034823	-9.084551641257395	66.1191688339826	-47.22431911809093	-336.560151295254	20.0	0.0	1020	40080	-158.86740344221684	-8.423947071948508
210.24307084083557	4	-159.71564207833245	-8.344233705245959	66.98027535964731	-28.209622573678917	-337.828448696812	20.0	0.0	1020	50100	-180.03174054747467	-9.6126717840279
251.95599722862244	5	-161.7411529644327	-8.209103987967467	63.73323887484719	-29.314453204198543	-346.98999387806504	20.0	0.0	1020	60120	-178.4495241032552	-9.196238744488332
293.60551357269287	6	-166.18272482990733	-8.486318034779323	65.01907493385211	-31.331167077817017	-325.08798329400815	20.0	0.0	1020	70140	-153.17185627808786	-7.539903096623759
335.1640748977661	7	-163.62415168952137	-8.144034447381472	63.340924316279235	-30.787186437735215	-365.87016605279297	20.0	0.0	1020	80160	-163.33134667144463	-7.5892309044677955
376.5504946708679	8	-163.9039018945602	-8.06713733080298	65.61806146936723	-26.95601239250117	-343.8183118171906	20.0	0.0	1020	90180	-158.15900620344846	-7.165134064763478
418.52229738235474	9	-155.6559507983558	-7.6345961397627775	66.49970589920854	-28.37583586922233	-356.0022437114891	20.0	0.0	1020	100200	-152.08192869614842	-7.280027212324571
460.3979141712189	10	-153.54702526293497	-7.403206929269455	64.06100681183986	-28.26522659052717	-339.71825394609294	20.0	0.0	1020	110220	-145.8417876615632	-6.701662439619096
502.1719310283661	11	-159.29235969756184	-7.763828367253037	68.75798722808271	-29.169533582168956	-375.8773105053922	20.0	0.0	1020	120240	-145.99404263494176	-7.034153626618554
543.8294370174408	12	-151.58976973939858	-7.112452689749599	61.56598331406626	-33.971500558565225	-336.47024588739475	20.0	0.0	1020	130260	-150.9697682423942	-7.021782581299554
585.522643327713	13	-145.90575557070667	-6.653600125201661	62.254814800674744	-28.59498131978052	-337.3021001223847	20.0	0.0	1020	140280	-153.27415711472662	-6.826259044880196
627.0671665668488	14	-145.02397348641648	-6.449456480446004	61.14000846669497	-29.072639902221958	-355.61625429674336	20.0	0.0	1020	150300	-134.2890264718407	-5.981371501940189
668.8375542163849	15	-138.5894568504995	-6.133593926616759	61.268886468185656	-30.69371702081409	-354.2925413363122	20.0	0.0	1020	160320	-155.46414163308773	-7.388826677622223
710.4846522808075	16	-149.9922972139445	-6.582157190404002	65.1814453065371	-23.40226284849757	-354.55230914696347	20.0	0.0	1020	170340	-147.14042633786778	-6.781155526145137
752.3334450721741	17	-148.5151503978065	-6.623790958859608	66.31051341673616	-24.595407817695996	-377.21227499099547	20.0	0.0	1020	180360	-150.56952685014102	-6.655381122782288
794.4963598251343	18	-133.61512052638986	-5.809829171824829	57.756178327045404	-28.109275957319976	-300.69041667794323	20.0	0.0	1020	190380	-144.9426614477006	-6.234323653165742
836.7528812885284	19	-133.47039683535925	-5.7732712316925445	62.92305866461125	-21.747025973463096	-388.6073947767719	20.0	0.0	1020	200400	-131.98048837325723	-5.260239417673245
878.6831493377686	20	-136.99385983488483	-5.773343635421123	63.78675945259268	-19.1744612198704	-375.7366927061341	20.0	0.0	1020	210420	-129.850018660897	-5.318058156040855
920.6611866950989	21	-138.7414643374762	-5.876593639685734	63.10034189259954	-26.054554689283513	-340.13475070125486	20.0	0.0	1020	220440	-130.73469666786673	-5.048361346087693
962.3018729686737	22	-136.82263413990282	-5.5505757717133495	60.50030715887241	-18.96466448831172	-343.10869823083766	20.0	0.0	1020	230460	-153.28622066544747	-6.5712421213285985
1003.936883687973	23	-134.06696460238197	-5.532290590831774	64.44918246167215	-20.22717700514155	-371.71923652478273	20.0	0.0	1020	240480	-131.20718455405577	-5.3131074361256925
1045.6642289161682	24	-130.41002987035398	-5.259381628654234	61.31908729549633	-25.504045004463347	-331.45266827619724	20.0	0.0	1020	250500	-143.86998659910714	-4.997712102889971
1087.358626127243	25	-133.0341206586177	-5.425974477627852	61.692812842276446	-14.166755685270427	-452.0204980272167	20.0	0.0	1020	260520	-140.19514815567345	-5.503032947230664
1128.7878510951996	26	-122.7701306588043	-4.8717154982630335	57.927241875828344	-15.3596465224534	-359.4283645170087	20.0	0.0	1020	270540	-135.22743122143555	-5.272076169487134
1170.3620483875275	27	-129.37233172214687	-5.22803248348934	56.898385230897894	-18.965122063512258	-396.4313877031087	20.0	0.0	1020	280560	-143.13603316117158	-6.753083945433943
1211.778568983078	28	-136.38994044202798	-5.41812033510125	59.25863120473504	-14.956678323666024	-364.6738768737373	20.0	0.0	1020	290580	-115.1088546156488	-4.589809994433403
