,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-146.954823636359,33.39479119679788,-211.07460347654214,-95.19458743846639,,
1,0,-33.03569867245548,20.846528957408626,-80.95618776601799,-11.91045586886829,3954.592822265625,145.11926879882813
2,1,82.99835770360771,20.13687670322431,55.62532334141001,125.45332683872574,201.2577335357666,104.16997547149658
3,2,168.73690103875128,18.846649785606047,141.4237563066066,199.54498239154194,132.3713410695394,76.93115533192953
4,3,253.20102834896383,53.32608225075062,189.26844177989543,369.0616270596674,90.44376463890076,62.967288333177564
5,4,313.4378013163929,37.000319698853616,268.060535063487,407.0093938227892,76.10963953757772,54.07199914114816
6,5,320.35539763429136,51.65008726702179,226.10524535887055,425.03998042972853,60.02437814615541,47.303260803222656
7,6,354.8178723505419,34.13675710932945,298.1641502812032,406.78893275403414,51.2090254244597,41.69283385898756
8,7,403.7903746211843,41.6428582104846,336.5373928974172,464.63633260095725,44.27229682101479,38.82990043676352
9,8,357.63539261496396,38.380959731922104,284.30003264239804,406.84061039428076,44.08843313563954,37.489094430750065
10,9,402.9206559913626,46.702112046171514,313.6452347026137,472.8251751716196,38.305180393919656,34.38110620148328
11,10,402.19832320789226,25.7239225072611,346.61715723911414,439.0463776776247,36.50856562013979,33.17328091020937
