Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
4.58999228477478	0	-172.64363997504822	-9.472445479789329	65.03193238284364	-35.864340635524236	-393.4605941715431	20.0	0.0	1040	10040	-161.97461133903582	-8.3758856340774
8.533859968185425	1	-172.49161271645687	-9.565103547214484	63.576665566057315	-29.824010614848916	-341.17316458382913	20.0	0.0	1040	20080	-161.0828638941634	-8.453653633910207
12.385711669921875	2	-164.23264236382929	-8.635158296566148	68.63232854350613	-28.839091730818794	-364.25195144302677	20.0	0.0	1040	30120	-191.68784175315912	-10.325703229796217
16.330943822860718	3	-165.26767067943504	-8.61555035240354	64.89248078002323	-35.953752543706244	-330.2829685715009	20.0	0.0	1040	40160	-172.17106341880904	-9.00328631932072
20.19167137145996	4	-166.54876034124499	-8.602671693641577	63.10074362471007	-41.277623985128855	-345.6536735230837	20.0	0.0	1040	50200	-153.6996788041806	-7.74132604939155
23.989152431488037	5	-154.91706615413375	-7.954196134810128	68.92565958493931	-31.27351898500476	-367.2362460654591	20.0	0.0	1040	60240	-162.89322055056527	-7.792028528978842
27.831480741500854	6	-154.84881469607672	-7.865588354818366	65.32470249124482	-32.63827296638104	-343.2377799024471	20.0	0.0	1040	70280	-155.6372991287632	-7.77754809467225
31.705111265182495	7	-159.55042562922554	-8.118557537669952	64.62083445637705	-37.163601704079205	-377.5561257516829	20.0	0.0	1040	80320	-165.21443193691024	-9.119955428101203
35.55045819282532	8	-158.82209352387733	-7.887662422924114	70.60489007767067	-29.674387794955262	-381.5998836554208	20.0	0.0	1040	90360	-129.28933957580915	-5.729580863100522
39.40216875076294	9	-157.96773074291394	-8.000186006725079	67.42089393723964	-22.12289266147954	-323.1518247244694	20.0	0.0	1040	100400	-150.43126290821394	-7.212037104557377
43.195528984069824	10	-157.9055726599674	-8.119940669231283	69.62725523067841	-22.95327747128889	-379.7708925656637	20.0	0.0	1040	110440	-148.7071947788125	-7.838182456730783
46.92989492416382	11	-162.99433685042948	-8.233893870821838	69.30195678664747	-30.676601502434632	-337.80160925710686	20.0	0.0	1040	120480	-158.99834053503994	-7.568227673520425
50.765265464782715	12	-154.40938770722326	-7.74316087732184	68.32998916561517	-17.91598375608855	-415.8953667641831	20.0	0.0	1040	130520	-157.3692254994831	-7.992768214469161
54.67135524749756	13	-150.1464444182581	-7.561394125085154	70.29756433541314	-22.89713857725708	-342.5340869807524	20.0	0.0	1040	140560	-157.6770906917182	-8.466128743655084
58.4832489490509	14	-155.27088459707613	-7.617432578767619	65.96699979631143	-28.736504169472028	-360.1786853779348	20.0	0.0	1040	150600	-144.33444654370777	-7.178830561222953
62.34977960586548	15	-162.6248345025267	-8.084615186650694	75.36323396374047	-23.645816867447085	-394.51934883823213	20.0	0.0	1040	160640	-167.37651608396234	-8.175523099664979
66.28881192207336	16	-151.61898813872725	-7.438148661455605	68.3950412440109	-19.139804684598452	-359.931138361209	20.0	0.0	1040	170680	-132.2443918973426	-6.499788868600718
70.19811725616455	17	-159.22104194882453	-7.756781438145854	72.19086118146996	-27.168740355112142	-383.21403048272475	20.0	0.0	1040	180720	-168.2162217676735	-8.250592294288673
74.08678674697876	18	-153.70062577407302	-7.679689812427417	70.02127082320668	-17.239803776839288	-372.3010124654009	20.0	0.0	1040	190760	-134.42798001097793	-6.73152588596321
77.96934771537781	19	-159.651259088268	-7.767586214560771	63.061600185760334	-17.15113744957657	-348.7896085393519	20.0	0.0	1040	200800	-160.99805843743766	-8.15103770645383
81.83343029022217	20	-161.93764761212057	-7.826774622429866	71.65391691710278	-24.85604560451044	-435.3977740694299	20.0	0.0	1040	210840	-150.10161620322123	-6.979730363993469
85.73097538948059	21	-155.60080433439606	-7.5289941464991825	71.82704352545305	-26.498476621490703	-448.5417247953644	20.0	0.0	1040	220880	-128.4900204176665	-6.590015760191324
89.60187888145447	22	-160.44109424742118	-7.478657864934817	74.70337399048796	-16.235013849650056	-473.59895948154116	20.0	0.0	1040	230920	-185.49585264695904	-8.906488143623324
93.4479820728302	23	-150.6620144218245	-7.261374779724415	71.3189024209884	-17.24895967020703	-397.86516007685225	20.0	0.0	1040	240960	-159.38699809906754	-7.677016009246161
97.30815958976746	24	-159.5649773524288	-7.923455960606087	81.45654777769772	-18.586710983958998	-405.91270938030453	20.0	0.0	1040	251000	-171.33160696815818	-7.628719471409142
101.14913868904114	25	-150.80713856130365	-7.279601253886893	74.81993055002468	-15.729625057912418	-428.0587089895915	20.0	0.0	1040	261040	-146.98577629205494	-7.148171944829882
105.06715083122253	26	-151.24490857167862	-7.136921242216469	69.0832787087179	-15.03058947578373	-366.3965591456807	20.0	0.0	1040	271080	-167.40993077989248	-7.922422977852857
109.01492357254028	27	-157.3278726351553	-7.606762013659735	76.6222589500651	-15.104490887300662	-447.89616933919575	20.0	0.0	1040	281120	-184.43134725460774	-8.449805976034794
113.00601506233215	28	-153.66113970536244	-7.427792672385785	78.74242611952847	-24.316901816924076	-420.0532881242896	20.0	0.0	1040	291160	-172.7832862076173	-8.758584255908884
116.92491626739502	29	-158.07470149033387	-7.617545302819382	75.99552286334254	-21.988336337251376	-439.63555519714635	20.0	0.0	1040	301200	-140.2211134264304	-6.4963029526262925
120.84085369110107	30	-163.74473977012676	-7.6190126357869685	81.57951769372751	-17.910277787104963	-497.66563274444377	20.0	0.0	1040	311240	-135.7669329360173	-6.361116117610103
