,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-148.3039943723548,30.175430593022238,-185.07328763457684,-88.94500730866974,,
1,0,70.03825392674065,19.500557771684036,43.86694730027931,108.69077915962644,4195.504370117187,139.18519592285156
2,1,124.05994272424284,14.769419787915922,98.12561676267927,156.84927544431883,213.1835880279541,110.91106452941895
3,2,178.22315449821468,36.65792029840842,133.90213915071106,268.5178833419245,152.89272766113282,88.95909697214762
4,3,219.61517470139628,35.390769465123135,167.8268078297404,264.3158420956659,113.2914361834526,75.14466432332992
5,4,265.22396575990604,26.27603319506818,210.6929714079971,292.96980249818324,87.76926608961456,67.37894945728536
6,5,323.21130879264166,26.356043609903704,292.4302113147252,374.54592248839344,71.68857496875827,57.920127997964116
7,6,293.7434733924333,32.159951688065924,242.17517305080415,352.2483739225406,63.08344658561375,51.73886252140653
8,7,343.0441087762621,39.31862400787631,293.07735932944786,408.8288798187001,55.3285628572295,47.42969919760016
9,8,387.706852209583,50.172802932729965,311.8256960980307,451.41468756022164,48.99365819584239,42.887614943764426
10,9,385.88619587657774,51.45843797218781,308.53010803396205,478.00513102022876,43.631684050268056,40.20117761650864
11,10,423.63504127783045,47.01235526129624,338.28024648717377,480.0850973210941,40.182911449008515,37.052650142599035
