,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-139.71404483622157,26.642811721459445,-181.55372110543215,-87.44283935590327,,
1,0,-49.792980982191395,26.434579239068963,-99.02947024236747,-16.932516854349778,4047.471044921875,144.0430923461914
2,1,-9.735744755828753,24.205088768058204,-61.069889895464996,28.978341365928323,174.96905517578125,94.64107360839844
3,2,26.559788744558887,20.461298993511818,-15.801582178114167,53.78259098984451,102.995139058431,65.79669965108236
4,3,39.292931519416186,22.915662741607594,6.4203005804258115,83.14529784343637,74.5499970793724,52.8933930516243
5,4,62.690541730099255,22.08477047918736,25.18241115402417,105.21854224992177,58.254543460145285,43.27407299742407
6,5,103.42708799859588,34.32715343719835,21.169987680396716,136.89189676930138,46.111803151793396,37.23363178059206
7,6,92.49756227332716,34.85068543763221,37.133372243263096,150.5460564884973,40.713834845501445,34.399649025737375
8,7,93.24509952320423,29.536788836230677,39.46507190613919,137.2467889441762,36.631114175048054,32.59582634817196
9,8,71.36029591267898,29.967209662774597,-1.7386948686730985,111.53521652143385,34.48087306456132,30.891562180085614
10,9,109.96727769247298,35.85488029772972,66.65606240943589,196.00879879032334,31.92604956334951,28.864650142436126
11,10,112.77766967203829,20.566334853814272,89.11070320784108,139.46011597409557,30.034115049574112,27.129602167341446
