Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
17.49041199684143	0	-293.0804041539621	-15.09885815500331	44.91749211496865	-169.51049855229772	-438.79819149670374	20.0	0.0	252	10080	-295.88391171872945	-14.982139658065925
25.86535882949829	1	-292.7089923922284	-14.974230269783577	48.91234327928433	-145.4004473561789	-426.2326762504783	20.0	0.0	252	20160	-272.8224456749588	-13.819418943853934
33.90377879142761	2	-293.3445784110537	-15.264268797761304	46.91158975670213	-160.12436246635684	-430.96106417196364	20.0	0.0	252	30240	-296.2095532380387	-15.290247285723192
41.97224283218384	3	-288.3591763929637	-14.741155269710372	49.95565315905192	-158.79451887308812	-442.03436438712765	20.0	0.0	252	40320	-280.26260142037864	-14.103511926054088
49.97183012962341	4	-284.8151752328189	-14.467673140163745	50.63368113997546	-101.38818823477229	-444.0193377918733	20.0	0.0	252	50400	-284.2812023739712	-14.770129226525166
58.01713681221008	5	-283.739686967487	-14.205775091714425	49.915292158797556	-129.89061323853838	-445.0211603342674	20.0	0.0	252	60480	-275.99743485935727	-13.253121508946402
66.04963302612305	6	-282.0332976700063	-14.019998243638675	49.54859205379686	-121.12322523975372	-429.74552668295485	20.0	0.0	252	70560	-275.5147682959517	-13.489280042148982
74.04207801818848	7	-277.4269657004778	-13.769825548259663	49.24935325598626	-122.2341733159999	-399.91866978687864	20.0	0.0	252	80640	-273.76944964355755	-14.075408369215621
82.13248801231384	8	-274.44947009095785	-13.318412031243058	45.87289401124212	-107.21227489811243	-416.40445142583314	20.0	0.0	252	90720	-260.76074067753626	-12.452448551652568
90.14853096008301	9	-264.30205993052533	-12.556743850303627	48.95831665794488	-137.20137867250216	-426.17591327873345	20.0	0.0	252	100800	-262.32802613449684	-12.70127511887881
98.67932391166687	10	-258.7282332846702	-11.930733061884474	46.753515000905644	-132.98060808964217	-383.62314907608487	20.0	0.0	252	110880	-247.37268433767804	-11.018200785304769
107.07470178604126	11	-249.51629671320495	-11.346138804336526	49.424441617688124	-109.3514201691756	-374.47291213354987	20.0	0.0	252	120960	-235.60271515669146	-10.50435302244625
114.93478393554688	12	-245.0216075831844	-10.72214592393431	48.30802120897917	-128.38354541525572	-430.7860511320416	20.0	0.0	252	131040	-237.07464616597647	-10.287217935150634
122.8405487537384	13	-236.3661509593712	-10.174413742165472	47.69512595149898	-108.49543419396659	-383.6687382462846	20.0	0.0	252	141120	-227.82604773707615	-9.288752639264807
130.8364839553833	14	-228.79901111271545	-9.412460535206412	48.36433841219151	-114.92653461331587	-390.552414290171	20.0	0.0	252	151200	-211.16733025442952	-8.322549845237162
138.9092607498169	15	-214.1679463359682	-8.403659158728638	45.977161232069335	-109.11916703493578	-373.1062352061133	20.0	0.0	252	161280	-199.91937233462818	-7.418771755969387
147.0329749584198	16	-203.2064853632142	-7.529996050656935	45.39691395619372	-91.3232264428756	-403.2408196655495	20.0	0.0	252	171360	-188.99072793371772	-6.477988409350111
155.381098985672	17	-193.39536570372334	-7.169977092044225	43.92181199139596	-95.98339658731774	-351.86547509924566	20.0	0.0	252	181440	-184.74164221182127	-6.577992654334362
163.4324700832367	18	-180.02547950513855	-6.200744550248085	37.07125291437304	-95.0459737886395	-305.9895660931467	20.0	0.0	252	191520	-174.41699015672484	-5.989499369199241
171.6541509628296	19	-177.18695055863688	-6.069055423122629	36.299242778098126	-97.24772550953973	-340.25654351213643	20.0	0.0	252	201600	-170.93162961398002	-5.2826336059684
179.5050549507141	20	-168.0609424701052	-5.496461908761338	35.545781820979315	-89.16552403290632	-300.74893063746833	20.0	0.0	252	211680	-154.4974584567464	-5.228949394164533
187.4112367630005	21	-162.53690988226748	-5.146456178238885	37.96660762516484	-87.79894554203933	-324.0291494647627	20.0	0.0	252	221760	-156.81005502922048	-4.964135402827073
196.4549479484558	22	-155.16219261938866	-4.92598494805244	33.91095232787773	-75.19457751399402	-291.5870496569165	20.0	0.0	252	231840	-144.4176748914199	-4.983241413965197
206.05167174339294	23	-146.49346986752366	-4.424303583853603	30.240849536470602	-79.56492062220681	-278.8497429443819	20.0	0.0	252	241920	-139.65895785504404	-4.165454176804875
215.02039670944214	24	-139.975977156558	-4.178659874508996	32.10335903179972	-72.97028371330744	-309.41803780212535	20.0	0.0	252	252000	-137.95059960021302	-3.7573436384714345
223.05206084251404	25	-135.10782305034152	-3.949878512406836	31.051639740587962	-72.89737674577185	-261.2315952026844	20.0	0.0	252	262080	-131.37407216946679	-3.697351526862187
230.92379903793335	26	-128.78052137871666	-3.557845324747011	28.253833021887925	-68.71399621482469	-252.52368576089805	20.0	0.0	252	272160	-123.79497769386425	-3.1561479004195774
238.80078291893005	27	-121.26638127012916	-3.4317111606401096	26.423931406659616	-75.79792297621619	-257.9437022168197	20.0	0.0	252	282240	-121.67033518458716	-3.303544151197425
246.59758377075195	28	-116.85416884239712	-3.1668549749737744	23.376217687620343	-53.40878218177745	-209.1200756356032	20.0	0.0	252	292320	-112.51596267814087	-2.989983143730909
254.5142478942871	29	-113.43441769626757	-3.091614705100515	24.659617776686595	-66.26224190832467	-221.94454437635062	20.0	0.0	252	302400	-107.20433452800027	-2.957536802897907
262.3809621334076	30	-108.48619495052881	-2.832013768682967	23.845773694447857	-65.5311665601829	-323.8698835149902	20.0	0.0	252	312480	-107.54779013075756	-2.8804961552442556
270.3131420612335	31	-102.47279882008151	-2.692271947165386	19.414709852372102	-55.3190134201338	-199.779878369121	20.0	0.0	252	322560	-103.15777698808085	-2.8135328290968893
278.24307894706726	32	-101.90421142002391	-2.688149812318064	20.890636284849403	-62.983266362544356	-208.39581338871392	20.0	0.0	252	332640	-95.1814465982671	-2.197703155249682
286.1654920578003	33	-98.4447052466514	-2.522484740628342	22.242993851808105	-61.93161837522358	-337.85728576526543	20.0	0.0	252	342720	-92.58669176804194	-2.1460766750729903
