,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-163.16038119341533,36.40686391081338,-247.13432742585533,-113.97298944431691,,
1,0,-20.03468159279743,21.39908382075073,-55.724524921516426,14.390640168285303,4149.953540039062,141.98176116943358
2,1,131.82884296393158,31.939965743135094,76.77922058347407,175.9796382012442,168.41125373840333,94.64739437103272
3,2,169.98219800227554,41.812389161149014,88.97962126818436,232.85303100595564,129.77896041870116,72.73271147410075
4,3,225.9932890372961,46.00245316840867,152.02040680325103,295.69540728516864,84.46088342666626,57.57449654936791
5,4,231.15521819707573,35.48949752763735,189.37003698175,286.2669346147748,72.98894952268017,51.63291884441765
6,5,263.72575042154494,34.96443384673975,178.48719350557548,312.7010437213155,54.00462793899795,43.674441483061194
7,6,268.6372609298287,42.00875679931317,199.5758381660814,346.19424912804357,46.57175091729648,40.22221168573352
8,7,283.29902577448064,52.967657941870456,218.97167032986664,381.20373682814886,40.58695548697363,35.48515926131719
9,8,355.1966141923022,50.363475243085695,258.5642993340605,455.8001767037435,37.77437268603932,33.054540005597204
10,9,325.0554162395545,35.14466900064959,234.1212494304213,373.96512868975833,35.3994512363356,31.42688377536073
11,10,354.55737653752146,43.15622869892036,299.26334332974943,444.730793520405,32.20034545439261,29.682546624430902
