,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-137.45989809830994,41.25247264181327,-219.16746959298138,-79.16517222595171,,
1,0,43.63963790699541,24.401737233666104,2.9574553411502738,87.22977430768098,4045.1607177734377,136.50459671020508
2,1,85.92080484387708,35.70722033702124,23.004674426220184,129.75008275724724,189.9289295196533,95.01805381774902
3,2,137.35774850607183,17.76086006223939,105.35086940186883,163.01878520148261,119.22584279378255,68.92768313090006
4,3,213.86364814007538,44.23516982318292,164.45016532893703,300.9019451302057,80.66738676428795,56.33213540315628
5,4,256.24032734822515,48.5114480923936,205.94361465978645,355.8194494507359,66.6845516282685,50.78858457292829
6,5,259.84384958449783,43.579872804861104,191.93411620845774,336.00605125735177,57.35422709836798,45.45696846913483
7,6,261.11025091602227,30.406461476717546,206.99244721771464,301.9439049885659,48.15734796938689,40.30174166914345
8,7,346.4802654506846,39.731130213522626,292.39965187837987,429.85165108239937,42.82786480384537,36.09939211833326
9,8,286.3711808999151,40.355509256412184,227.50767885225653,357.59104082841867,41.44477753205733,34.80630445480347
10,9,348.0633883852355,31.229009223089715,292.188490426498,394.3214743544961,36.54591077687789,31.934938138845016
11,10,313.02408197832125,45.93375107683318,244.12819274159995,395.3755006045129,33.71128303916366,30.74097140630086
